Sample,Points,Mean,Std,Min,Max,RMS,Peak2Peak,Energy,Group
LB2-5 (1),1200,-0.03015333333333333,0.07793264071548511,-0.252,0.196,0.08356267109182185,0.448,8.379264,LB
LB2-5(2),1200,2.3526499999999997,0.0665417976412821,2.04,2.64,2.3535908381308195,0.6000000000000001,6647.2678,LB
LB3-1 (1),1200,-0.47563666666666665,0.049801887402877505,-0.708,-0.296,0.4782368311481945,0.412,274.45256,LB
LB3-1(2),1200,-0.35581333333333326,0.06663466431887301,-0.648,-0.096,0.3619990423560077,0.552,157.251968,LB
LB3-2 (1),1200,1.2264666666666666,0.04960694395837031,1.02,1.42,1.2274694836668378,0.3999999999999999,1808.0176000000001,LB
LB3-2(2),1200,-0.2065,0.060915816227533774,-0.496,0.052,0.21529743766860457,0.548,55.623584,LB
LB3-3(1),1200,-2.088966666666667,0.044063577803996924,-2.44,-1.73,2.089431342096058,0.71,5238.868,LB
LB3-3(2),1200,2.3526499999999997,0.0665417976412821,2.04,2.64,2.3535908381308195,0.6000000000000001,6647.2678,LB
LB3-4 (1),1200,0.26088000000000006,0.06050167160225134,0.016,0.512,0.2678037092100605,0.496,86.062592,LB
LB3-4(2),1200,-0.3492433333333333,0.06254971986792231,-0.608,-0.132,0.35480046974790397,0.476,151.060048,LB
LB3-5 (1),1200,1.6084083333333334,0.061747199104268825,1.35,1.86,1.6095931421739262,0.51,3108.9481,LB
LB3-5(2),1200,-0.24489333333333335,0.07059179807566567,-0.428,-0.072,0.2548645653414116,0.356,77.947136,LB
LB4-0,1200,-0.06697,0.06709728583681063,-0.364,0.292,0.09479992967648586,0.6559999999999999,10.784431999999999,LB
LB4-1,1200,-0.15465333333333334,0.06617209751012045,-0.464,0.164,0.1682153381829374,0.628,33.95568,LB
LB4-2,1200,-0.23998,0.06639156271695974,-0.528,0.048,0.24899445776964593,0.5760000000000001,74.397888,LB
LB4-3,1200,2.3526499999999997,0.0665417976412821,2.04,2.64,2.3535908381308195,0.6000000000000001,6647.2678,LB
LB4-4,1200,-0.6568766666666667,0.07829221835888645,-0.848,-0.428,0.6615259833647252,0.42,525.139952,LB
LB4-5,1200,0.5088066666666666,0.039075516062562196,0.236,0.764,0.5103049284496476,0.528,312.493344,LB
LD1-0,1200,-5.894116666666666,0.03943204773897603,-6.17,-5.62,5.894248566752735,0.5499999999999998,41690.59940000001,LD
LD1-1,1200,0.11794666666666667,0.046058482630479944,-0.104,0.308,0.12662069341146415,0.412,19.23936,LD
LD1-2,1200,1.0993283333333332,0.053802715519035066,0.844,1.33,1.1006441371609021,0.4860000000000001,1453.70102,LD
LD1-3,1200,0.7169866666666667,0.05050953529340331,0.5,0.92,0.7187635865382535,0.42000000000000004,619.9453120000001,LD
LD1-4,1200,2.1957,0.06301066047371137,1.9,2.48,2.1966039318305275,0.5800000000000001,5790.0826,LD
LD1-5,1200,-0.44171333333333335,0.07435785873433659,-0.616,-0.268,0.4479282978334814,0.348,240.76771200000002,LD
LD2-1 (1),1200,0.6917399999999999,0.05179072375113777,0.4,0.968,0.6936760819479555,0.568,577.423808,LD
LD2-1(2),1200,-0.12469999999999999,0.06678934545769008,-0.348,0.1,0.14145991187140852,0.44799999999999995,24.013087999999996,LD
LD2-2(1),1200,0.99247,0.04042918623964624,0.792,1.17,0.9932931188727726,0.3779999999999999,1183.9574639999998,LD
LD2-2(2),1200,-0.8563250000000001,0.060114427344856246,-1.11,-0.672,0.8584324376443379,0.43800000000000006,884.2875,LD
